loc_code	unit_id	system_type	type	x	y
ht7220_08	3	rivulet	7220	253266.674255575	160485.032763359
ht7220_09	4	rivulet	7220	164711.865802202	160492.759429047
ht7220_16	8	rivulet	7220	91398.5981016056	162715.69828025
ht7220_27	12	rivulet	7220	219264.133414455	166693.975114116
ht7220_28	13	rivulet	7220	233176.690021864	167217.951481724
ht7220_32	16	rivulet	7220	228016.176197249	167989.910228325
ht7220_35	17	rivulet	7220	108237.163560661	169886.995585251
ht7220_40	18	mire	7220	99348.1647154389	171728.98486787
ht7220_58	20	rivulet	7220	211411.020315617	157151.272139097
ht7220_66	22	rivulet	7220	160156.797390133	157936.404710773
ht7220_72	27	rivulet	7220	251878.246329487	161083.214175558
ht7220_75	29	rivulet	7220	258193.95337374	158553.947013307
ht7220_79	30	rivulet	7220	119848.908123004	161395.925853793
