activity,activity_name,is_datacollection_method,is_field_activity,is_prep_activity,is_lab_activity,protocol
LOCEVALTERR,locatie in terrestrisch habitat evalueren en eventueel vervangen,TRUE,TRUE,FALSE,FALSE,"sfp-001-nl, ..."
LOCEVALAQ,locatie in aquatisch habitat evalueren en eventueel vervangen,TRUE,TRUE,FALSE,FALSE,"sfp-403-nl, ..."
GWLEVINST,"peilbuis met divers installeren, repareren of vervangen",FALSE,TRUE,FALSE,FALSE,sfp-104-nl
GWLEVREAD,diverlogger uitlezen,TRUE,TRUE,FALSE,FALSE,SVP-110
GWSHALLCLEAN,ondiepe peilbuis leegpompen,FALSE,TRUE,FALSE,FALSE,sfp-105-nl
GWSHALLSAMP,ondiepe peilbuis bemonsteren,TRUE,TRUE,FALSE,FALSE,sfp-105-nl
SOILUPPERSAMP,bodem bemonsteren via oppervlaktemonsters,TRUE,TRUE,FALSE,FALSE,sfp-201-nl
SURFLENTSAMP,waterkolom bemonsteren in stilstaande wateren,TRUE,TRUE,FALSE,FALSE,spp-116-nl
SURFLENTSECC,Secchi-diepte bepalen in stilstaande wateren,TRUE,TRUE,FALSE,FALSE,spp-116-nl
SURFLENTFIELD,veldmetingen uitvoeren in stilstaande wateren,TRUE,TRUE,FALSE,FALSE,spp-116-nl
SURFLOTSAMP,waterkolom bemonsteren in stromende wateren,TRUE,TRUE,FALSE,FALSE,spp-117-nl
SURFLOTSECC,Secchi-diepte bepalen in stromende wateren,TRUE,TRUE,FALSE,FALSE,spp-117-nl
SURFLOTFIELD,veldmetingen uitvoeren in stromende wateren,TRUE,TRUE,FALSE,FALSE,spp-117-nl
SURFLEVINSTGAUGE,peillat installeren in oppervlaktewater,FALSE,TRUE,FALSE,FALSE,SVP-119
SURFLEVREADGAUGE,waterstand op peillat aflezen,TRUE,TRUE,FALSE,FALSE,NA
SURFLEVINSTDIVER,"buis met divers in oppervlaktewater installeren, repareren of vervangen",FALSE,TRUE,FALSE,FALSE,SVP-119
SURFLEVREADDIVER,diverlogger in oppervlaktewater uitlezen,TRUE,TRUE,FALSE,FALSE,SVP-110
SURFLOTSAMPLPOINT,staalnamepunt selecteren in stromende wateren,TRUE,TRUE,FALSE,FALSE,sfp-116-nl
SURFLENTSAMPLPOINT,staalnamepunt selecteren in stilstaande wateren,TRUE,TRUE,FALSE,FALSE,sfp-117-nl
SPATPOSIT,vaste installatie ruimtelijk inmeten,TRUE,TRUE,FALSE,FALSE,SVP-014
LSVITERR,LSVI bepalen in terrestrisch habitat,TRUE,TRUE,FALSE,FALSE,NA
LSVIAQ,LSVI bepalen in aquatisch habitat,TRUE,TRUE,FALSE,FALSE,NA
WATERDELIVER,waterstalen afleveren en inschrijven,FALSE,FALSE,FALSE,TRUE,NA
SOILDELIVER,"bodemstalen afleveren, inschrijven en in oven plaatsen",FALSE,FALSE,FALSE,TRUE,NA
SOILOUTOVEN,bodemstalen uit oven halen (één keer per week inplannen),FALSE,FALSE,FALSE,TRUE,NA
SOILPREPROCES,"droge bodemstalen zeven, breken en malen",FALSE,FALSE,FALSE,TRUE,NA
GWSURFINSTALLMAT,"installatiemateriaal voor grondwater of oppervlaktewater laden, lossen, opkuisen en opruimen (peilbuizen of peillatten)",FALSE,FALSE,TRUE,FALSE,NA
GWMAT,"staalnamemateriaal voor grondwater laden, lossen, kuisen en opruimen",FALSE,FALSE,TRUE,FALSE,NA
SOILMAT,"staalnamemateriaal voor bodem laden, lossen, kuisen en opruimen",FALSE,FALSE,TRUE,FALSE,NA
SURFMAT,"staalnamemateriaal voor oppervlaktewater laden, lossen, kuisen en opruimen",FALSE,FALSE,TRUE,FALSE,NA
SECDATACOLL,data uit bestaande databronnen verwerven (secundaire dataverwerving),TRUE,FALSE,FALSE,FALSE,NA
