scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	typegroup	power_conf80	power_conf90	p_power_conf80_0.8_	p_power_conf90_0.9_
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group1	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group2	0.07 (0 | 0.5)	0 (0 | 0.13)	0	0
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group3	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group4	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S01	1	20	154	6081	154/6081	GW_05.1_aq_group5	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group1	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group2	1 (1 | 1)	1 (1 | 1)	1	0.8
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group3	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group4	0 (0 | 0.33)	0 (0 | 0.03)	0.133333333333333	0
GW_05.1_aq_S02	2	20	154	6081	154/6081	GW_05.1_aq_group5	1 (1 | 1)	0.93 (0.63 | 1)	0.933333333333333	0.533333333333333
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group2	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group4	0.4 (0.3 | 0.73)	0.07 (0 | 0.2)	0.266666666666667	0
GW_05.1_aq_S03	3	20	154	6081	154/6081	GW_05.1_aq_group5	1 (1 | 1)	1 (1 | 1)	0.933333333333333	0.933333333333333
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group1	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group2	0.07 (0 | 0.77)	0 (0 | 0.13)	0.266666666666667	0
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group3	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group4	0 (0 | 0)	0 (0 | 0)	0	0
GW_05.1_aq_S04	1	100	540	6081	540/6081	GW_05.1_aq_group5	0 (0 | 0)	0 (0 | 0)	0.0666666666666667	0
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group2	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group4	0 (0 | 0.43)	0 (0 | 0)	0.133333333333333	0.0666666666666667
GW_05.1_aq_S05	2	100	540	6081	540/6081	GW_05.1_aq_group5	1 (1 | 1)	1 (0.97 | 1)	0.933333333333333	0.8
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group1	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group2	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group3	1 (1 | 1)	1 (1 | 1)	1	1
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group4	0.07 (0.03 | 0.87)	0 (0 | 0.1)	0.266666666666667	0.0666666666666667
GW_05.1_aq_S06	3	100	540	6081	540/6081	GW_05.1_aq_group5	1 (1 | 1)	1 (1 | 1)	1	0.933333333333333
